
         3 	PASSENGER 	READER 	PUSHER 	NULL
2147483647 	KILL_LIFT 	LIFT 1 	LIFT 1 	NULL
2147483647 	KILL_LIFT 	LIFT 3 	LIFT 3 	NULL
2147483647 	KILL_LIFT 	LIFT 0 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 2 	LIFT 2 	NULL

         3 	LIFT      	PUSHER 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 3 	LIFT 3 	NULL
2147483647 	KILL_LIFT 	LIFT 0 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 1 	LIFT 1 	NULL
2147483647 	KILL_LIFT 	LIFT 2 	LIFT 2 	NULL

         6 	LIFT      	LIFT 0 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 0 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 1 	LIFT 1 	NULL
2147483647 	KILL_LIFT 	LIFT 3 	LIFT 3 	NULL
2147483647 	KILL_LIFT 	LIFT 2 	LIFT 2 	NULL

         9 	LIFT      	LIFT 0 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 1 	LIFT 1 	NULL
2147483647 	KILL_LIFT 	LIFT 3 	LIFT 3 	NULL
2147483647 	KILL_LIFT 	LIFT 0 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 2 	LIFT 2 	NULL

        12 	LIFT      	LIFT 0 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 3 	LIFT 3 	NULL
2147483647 	KILL_LIFT 	LIFT 0 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 1 	LIFT 1 	NULL
2147483647 	KILL_LIFT 	LIFT 2 	LIFT 2 	NULL

        15 	LIFT      	LIFT 0 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 0 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 1 	LIFT 1 	NULL
2147483647 	KILL_LIFT 	LIFT 3 	LIFT 3 	NULL
2147483647 	KILL_LIFT 	LIFT 2 	LIFT 2 	NULL

        18 	LIFT      	LIFT 0 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 1 	LIFT 1 	NULL
2147483647 	KILL_LIFT 	LIFT 3 	LIFT 3 	NULL
2147483647 	KILL_LIFT 	LIFT 0 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 2 	LIFT 2 	NULL

        21 	LIFT      	LIFT 0 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 3 	LIFT 3 	NULL
2147483647 	KILL_LIFT 	LIFT 0 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 1 	LIFT 1 	NULL
2147483647 	KILL_LIFT 	LIFT 2 	LIFT 2 	NULL

        23 	LIFT      	LIFT 0 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 0 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 1 	LIFT 1 	NULL
2147483647 	KILL_LIFT 	LIFT 3 	LIFT 3 	NULL
2147483647 	KILL_LIFT 	LIFT 2 	LIFT 2 	NULL

        26 	LIFT      	LIFT 1 	LIFT 1 	NULL
2147483647 	KILL_LIFT 	LIFT 1 	LIFT 1 	NULL
2147483647 	KILL_LIFT 	LIFT 3 	LIFT 3 	NULL
2147483647 	KILL_LIFT 	LIFT 0 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 2 	LIFT 2 	NULL

        28 	LIFT      	LIFT 1 	LIFT 1 	NULL
2147483647 	KILL_LIFT 	LIFT 3 	LIFT 3 	NULL
2147483647 	KILL_LIFT 	LIFT 0 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 1 	LIFT 1 	NULL
2147483647 	KILL_LIFT 	LIFT 2 	LIFT 2 	NULL

        31 	LIFT      	LIFT 1 	LIFT 1 	NULL
2147483647 	KILL_LIFT 	LIFT 0 	LIFT 0 	NULL
2147483647 	KILL_LIFT 	LIFT 1 	LIFT 1 	NULL
2147483647 	KILL_LIFT 	LIFT 3 	LIFT 3 	NULL
